day,leader_avg,follower_avg,epsilon,velocity,llm_pos,llm_neu,llm_neg,is_anchor,phase,avg_memory_size
-5,-0.1433,-0.31,0.9,0.0,10,50,20,False,crisis,0.1
-4,-0.148,-0.2499,0.3325,0.009,10,48,22,False,crisis,0.21
-3,-0.1413,-0.2158,0.3166,0.0046,11,47,22,False,crisis,0.28
-2,-0.1385,-0.1942,0.324,0.0067,11,47,22,False,crisis,0.3
-1,-0.1373,-0.1775,0.3101,0.0028,11,47,22,False,crisis,0.31
0,-0.5044,-0.1652,0.3042,0.0012,8,4,68,True,crisis,1.31
1,-0.6617,-0.5157,1.2611,0.3671,8,3,69,False,crisis,2.02
2,-0.718,-0.5854,0.8276,0.1573,8,3,69,False,crisis,2.29
3,-0.4494,-0.5137,0.501,0.0564,9,40,31,True,crisis,3.29
4,-0.4449,-0.5235,1.1008,0.2686,9,29,42,False,crisis,3.85
5,-0.4466,-0.414,0.3164,0.0045,9,26,45,False,crisis,4.35
6,-0.4474,-0.3405,0.3063,0.0018,9,26,45,False,crisis,4.41
7,-0.4472,-0.2887,0.3027,0.0008,9,26,45,False,crisis,4.41
8,-0.4471,-0.2495,0.3006,0.0002,9,26,45,False,crisis,4.41
9,-0.4471,-0.2198,0.3004,0.0001,9,26,45,False,crisis,4.41
10,-0.447,-0.1964,0.3002,0.0,9,26,45,False,crisis,4.41
11,-0.447,-0.1777,0.3001,0.0,9,26,45,False,crisis,4.41
12,-0.447,-0.162,0.3,0.0,9,26,45,False,crisis,4.41
13,-0.447,-0.1487,0.3,0.0,9,26,45,False,crisis,4.41
14,-0.447,-0.1371,0.3,0.0,9,26,45,False,crisis,4.41
15,-0.447,-0.1275,0.3,0.0,9,26,45,False,crisis,4.41
16,-0.447,-0.1194,0.3,0.0,9,26,45,False,crisis,4.41
17,-0.447,-0.1123,0.3,0.0,9,26,45,False,crisis,4.41
18,-0.447,-0.106,0.3,0.0,9,26,45,False,crisis,4.41
19,-0.447,-0.1003,0.3,0.0,9,26,45,False,crisis,4.41
20,-0.447,-0.095,0.3,0.0,9,26,45,False,crisis,4.41
21,-0.447,-0.0902,0.3,0.0,9,26,45,False,crisis,4.41
22,-0.447,-0.0858,0.3,0.0,9,26,45,False,crisis,4.41
23,-0.657,-0.0824,0.3,0.0,8,0,72,True,crisis,5.41
24,-0.7379,-0.6405,0.9697,0.21,8,1,71,False,crisis,5.8
25,-0.7645,-0.6304,0.5857,0.0809,8,1,71,False,crisis,5.89
26,-0.775,-0.6122,0.3955,0.0266,8,1,71,False,crisis,5.91
27,-0.7792,-0.4603,0.3377,0.0105,8,1,71,False,crisis,5.91
28,-0.781,-0.3762,0.3152,0.0042,8,1,71,False,crisis,5.91
29,-0.7818,-0.3173,0.3066,0.0018,8,1,71,False,crisis,5.91
30,-0.7821,-0.274,0.3027,0.0007,8,1,71,False,crisis,5.91
31,-0.7822,-0.2408,0.3011,0.0003,8,1,71,False,crisis,5.91
32,-0.7823,-0.2143,0.3004,0.0001,8,1,71,False,crisis,5.91
33,-0.7823,-0.1933,0.3002,0.0,8,1,71,False,crisis,5.91
34,-0.7823,-0.1756,0.3001,0.0,8,1,71,False,crisis,5.91
35,-0.7823,-0.161,0.3,0.0,8,1,71,False,crisis,5.91
36,-0.7823,-0.1484,0.3,0.0,8,1,71,False,crisis,5.91
37,-0.7823,-0.1375,0.3,0.0,8,1,71,False,crisis,5.91
38,-0.7823,-0.1282,0.3,0.0,8,1,71,False,crisis,5.91
39,-0.7823,-0.12,0.3,0.0,8,1,71,False,crisis,5.91
40,-0.7823,-0.1126,0.3,0.0,8,1,71,False,crisis,5.91
41,-0.7823,-0.106,0.3,0.0,8,1,71,False,crisis,5.91
