day,leader_avg,follower_avg,epsilon,velocity,llm_pos,llm_neu,llm_neg,is_anchor,phase,avg_memory_size
-5,0.85692,0.634745,0.9,0.0,148,0,0,False,crisis,0.0
-4,0.924211,0.615316,0.9,0.0673,148,0,0,False,crisis,0.0
-3,0.95751,0.597755,0.9,0.0333,148,0,0,False,crisis,0.0
-2,0.973923,0.596097,0.9,0.0164,148,0,0,False,crisis,0.0
-1,0.981967,0.590027,0.9,0.008,148,0,0,False,crisis,0.0
0,0.10772,0.442237,0.9,0.8742,0,36,112,True,crisis,0.0
1,0.084067,0.338389,0.9,0.0237,1,147,0,False,crisis,0.0
2,0.055695,0.272983,0.9,0.0284,1,147,0,False,crisis,0.0
3,0.032101,0.232696,0.9,0.0236,1,147,0,False,crisis,0.0
4,0.019477,0.204529,0.9,0.0126,1,147,0,False,crisis,0.0
5,0.013068,0.18437,0.9,0.0064,1,147,0,False,crisis,0.0
6,0.00986,0.168549,0.9,0.0032,1,147,0,False,crisis,0.0
7,0.008263,0.156091,0.9,0.0016,1,147,0,False,crisis,0.0
8,0.00747,0.145693,0.9,0.0008,1,147,0,False,crisis,0.0
9,0.007076,0.136153,0.9,0.0004,1,147,0,False,crisis,0.0
10,0.503503,0.405173,0.9,0.4964,148,0,0,True,recovery,0.0
11,0.750363,0.606968,0.9,0.2469,148,0,0,False,recovery,0.0
12,0.871494,0.63757,0.9,0.1211,148,0,0,False,recovery,0.0
13,0.931555,0.619719,0.9,0.0601,148,0,0,False,recovery,0.0
14,0.960742,0.611277,0.9,0.0292,148,0,0,False,recovery,0.0
15,0.974967,0.608378,0.9,0.0142,148,0,0,False,recovery,0.0
16,0.982055,0.596454,0.9,0.0071,148,0,0,False,recovery,0.0
17,0.985463,0.592575,0.9,0.0034,148,0,0,False,recovery,0.0
18,0.987308,0.591291,0.9,0.0018,148,0,0,False,recovery,0.0
19,0.988117,0.580699,0.9,0.0008,148,0,0,False,recovery,0.0
20,0.988654,0.587556,0.9,0.0005,148,0,0,False,recovery,0.0
21,0.988876,0.579159,0.9,0.0002,148,0,0,False,recovery,0.0
22,0.989026,0.587495,0.9,0.0001,148,0,0,False,recovery,0.0
23,0.989064,0.578123,0.9,0.0,148,0,0,False,recovery,0.0
24,0.989111,0.582033,0.9,0.0,148,0,0,False,recovery,0.0
25,0.989087,0.587682,0.9,0.0,148,0,0,False,recovery,0.0
