day,leader_avg,follower_avg,epsilon,velocity,llm_pos,llm_neu,llm_neg,is_anchor,phase,avg_memory_size
-5,0.8855363560295926,0.6427620665316324,0.9,0.0,148,0,0,False,crisis,0.98
-4,0.9506904329688068,0.6251566272731895,0.8491,0.1648,148,0,0,False,crisis,0.99
-3,0.9764820732364085,0.6065910601006111,0.5316,0.0652,148,0,0,False,crisis,0.99
-2,0.9866762191529416,0.6065917835224892,0.3927,0.0258,148,0,0,False,crisis,0.99
-1,0.990706997640646,0.4570488869392293,0.3367,0.0102,148,0,0,False,crisis,0.99
0,-0.2036230882145811,0.3716881030014313,0.3145,0.004,0,1,147,True,crisis,1.99
1,-0.675939574698259,-0.6349029188540236,1.4981,1.1943,0,1,147,False,crisis,2.99
2,-0.8652744206544337,-0.6159948218383269,1.3668,0.4723,0,1,147,False,crisis,3.99
3,-0.9424693031129532,-0.6370491599305057,0.9167,0.1893,0,0,148,False,crisis,4.02
4,-0.9732550428822744,-0.619984946609869,0.573,0.0772,0,0,148,False,crisis,4.03
5,-0.9852701797924656,-0.615958984796881,0.4105,0.0308,0,0,148,False,crisis,4.04
6,-0.9901535129010028,-0.4639694734218355,0.3432,0.012,0,0,148,False,crisis,4.04
7,-0.9920746687125584,-0.3752502247420406,0.3176,0.0049,0,0,148,False,crisis,4.04
8,-0.9928564063881666,-0.3166050059494038,0.3069,0.0019,0,0,148,False,crisis,4.04
9,-0.993172325122176,-0.2731825830347407,0.3028,0.0008,0,0,148,False,crisis,4.04
10,0.2067028630030917,-0.2408395895646016,0.3011,0.0003,148,0,0,True,crisis,1.0
11,0.681855847683214,0.6358778204522988,1.4985,1.1999,148,0,0,False,recovery,2.0
12,0.8700149457041387,0.6324391730502019,1.3907,0.4752,148,0,0,False,recovery,3.0
13,0.9445259307148596,0.6310871430067017,1.0113,0.1882,148,0,0,False,recovery,3.0
14,0.9740322764994,0.6310292667734024,0.7199,0.0745,148,0,0,False,recovery,3.0
15,0.9857167875309472,0.6394641157875779,0.5883,0.0295,148,0,0,False,recovery,3.0
16,0.9903438527588884,0.6316418636022592,0.535,0.0117,148,0,0,False,recovery,3.0
17,0.9921761697848718,0.6152420177076748,0.5139,0.0046,148,0,0,False,recovery,3.0
18,0.9929017667116306,0.6123097281993145,0.5055,0.0018,148,0,0,False,recovery,3.0
19,0.9931891026034448,0.5884640305889308,0.5022,0.0007,148,0,0,False,recovery,3.0
20,0.9933028872154466,0.5914992344473339,0.5009,0.0003,148,0,0,False,recovery,3.0
21,0.9933479455893288,0.5787135665613373,0.5003,0.0001,148,0,0,False,recovery,3.0
22,0.9933657884268584,0.5935499415482021,0.5001,0.0,148,0,0,False,recovery,3.0
23,0.9933728539551449,0.5744748477657856,0.5001,0.0,148,0,0,False,recovery,3.0
24,0.9933756517039288,0.5784833571652944,0.5,0.0,148,0,0,False,recovery,3.0
25,0.9933767594406456,0.5843556292052487,0.5,0.0,148,0,0,False,recovery,3.0
