day,leader_avg,follower_avg,epsilon,velocity,llm_pos,llm_neu,llm_neg,is_anchor,phase,avg_memory_size
-5,0.885536,0.642762,0.9,0.0,148,0,0,False,crisis,0.98
-4,0.95069,0.625157,0.9,0.0652,148,0,0,False,crisis,0.99
-3,0.976482,0.622286,0.9,0.0258,148,0,0,False,crisis,0.99
-2,0.986676,0.63012,0.9,0.0102,148,0,0,False,crisis,0.99
-1,0.990707,0.629289,0.9,0.004,148,0,0,False,crisis,0.99
0,-0.207677,0.278681,0.9,1.1984,0,0,148,True,crisis,1.99
1,-0.682245,0.12938,0.9,0.4746,0,0,148,False,crisis,2.99
2,-0.870169,0.053541,0.9,0.1879,0,0,148,False,crisis,3.99
3,-0.944587,-0.073444,0.9,0.0744,0,0,148,False,crisis,3.99
4,-0.974057,-0.139761,0.9,0.0295,0,0,148,False,crisis,3.99
5,-0.985726,-0.271865,0.9,0.0117,0,0,148,False,crisis,3.99
6,-0.990348,-0.36221,0.9,0.0046,0,0,148,False,crisis,3.99
7,-0.992178,-0.497928,0.9,0.0018,0,0,148,False,crisis,3.99
8,-0.992902,-0.568457,0.9,0.0007,0,0,148,False,crisis,3.99
9,-0.993189,-0.614521,0.9,0.0003,0,0,148,False,crisis,3.99
10,0.206697,-0.291237,0.9,1.1999,148,0,0,True,recovery,1.0
11,0.681852,-0.087387,0.9,0.4752,148,0,0,False,recovery,2.0
12,0.870013,-0.00332,0.9,0.1882,148,0,0,False,recovery,3.0
13,0.944525,0.130362,0.9,0.0745,148,0,0,False,recovery,3.0
14,0.974032,0.22396,0.9,0.0295,148,0,0,False,recovery,3.0
15,0.985717,0.364826,0.9,0.0117,148,0,0,False,recovery,3.0
16,0.990344,0.435792,0.9,0.0046,148,0,0,False,recovery,3.0
17,0.992176,0.530664,0.9,0.0018,148,0,0,False,recovery,3.0
18,0.992902,0.585987,0.9,0.0007,148,0,0,False,recovery,3.0
19,0.993189,0.608286,0.9,0.0003,148,0,0,False,recovery,3.0
20,0.993303,0.63369,0.9,0.0001,148,0,0,False,recovery,3.0
21,0.993348,0.621208,0.9,0.0,148,0,0,False,recovery,3.0
22,0.993366,0.643735,0.9,0.0,148,0,0,False,recovery,3.0
23,0.993373,0.62236,0.9,0.0,148,0,0,False,recovery,3.0
24,0.993376,0.637312,0.9,0.0,148,0,0,False,recovery,3.0
25,0.993377,0.639633,0.9,0.0,148,0,0,False,recovery,3.0
